Term,Total_TF,DF,IDF,Max_TFIDF
marin,2,1,7.2442,0.1985
occas,2,2,6.5511,0.1489
noninclin,2,1,7.2442,0.0693
drum,2,1,7.2442,0.0923
fed,2,1,7.2442,0.1178
fourzero,2,2,6.5511,0.0728
search,2,2,6.5511,0.0489
evolv,2,2,6.5511,0.0809
confus,2,2,6.5511,0.084
word,2,2,6.5511,0.0897
valv,2,1,7.2442,0.1178
intermolecular,2,2,6.5511,0.0682
hammitt,2,2,6.5511,0.0461
adequaci,2,2,6.5511,0.1337
untwist,2,2,6.5511,0.0809
affin,2,2,6.5511,0.0682
kussner,2,1,7.2442,0.1042
chapter,2,2,6.5511,0.1236
cos,2,2,6.5511,0.0799
civil,2,2,6.5511,0.0753
popular,2,2,6.5511,0.2184
paragraph,2,2,6.5511,0.059
protrud,2,2,6.5511,0.0668
unnecessari,2,2,6.5511,0.1149
board,2,1,7.2442,0.0775
lectur,2,1,7.2442,0.0775
white,2,1,7.2442,0.0553
troublesom,2,2,6.5511,0.0512
winni,2,1,7.2442,0.3083
ramp,2,1,7.2442,0.0809
revert,2,2,6.5511,0.0607
dri,2,2,6.5511,0.0341
11in,2,2,6.5511,0.0762
inop,2,1,7.2442,0.102
chester,2,1,7.2442,0.2012
rib,2,1,7.2442,0.0775
thermomechan,2,1,7.2442,0.1665
moon,2,2,6.5511,0.0963
seventeenzero,2,2,6.5511,0.0417
enjoy,2,1,7.2442,0.0617
wassermann,2,1,7.2442,0.2587
troubl,2,2,6.5511,0.0409
influx,2,2,6.5511,0.052
duplic,2,2,6.5511,0.0649
forum,2,2,6.5511,0.117
happen,2,2,6.5511,0.084
pari,2,1,7.2442,0.0617
press,2,2,6.5511,0.0489
deepest,2,1,7.2442,0.0947
ministri,2,2,6.5511,0.029
suffer,2,2,6.5511,0.0675
soc,2,2,6.5511,0.1394
unsolv,2,2,6.5511,0.0417
despit,2,2,6.5511,0.113
modal,2,2,6.5511,0.069
incomplet,2,2,6.5511,0.117
cost,2,2,6.5511,0.0753
modest,2,2,6.5511,0.0963
cps,2,1,7.2442,0.047
fog,2,1,7.2442,0.1089
alminar,2,1,7.2442,0.0979
cloud,2,2,6.5511,0.168
lay,2,2,6.5511,0.0923
scalar,2,2,6.5511,0.0618
thenc,2,2,6.5511,0.168
townsend,2,1,7.2442,0.1271
transcend,2,1,7.2442,0.2786
camera,2,1,7.2442,0.0923
globul,2,1,7.2442,0.3715
app,2,2,6.5511,0.0443
summaris,2,2,6.5511,0.1927
begun,2,2,6.5511,0.052
siren,2,2,6.5511,0.0771
pore,2,2,6.5511,0.0697
jmin,2,1,7.2442,0.1058
u1,2,1,7.2442,0.1058
whatev,2,2,6.5511,0.0697
thwait,2,1,7.2442,0.1249
pierci,2,1,7.2442,0.3083
phys,2,2,6.5511,0.1337
oswatitsch,2,2,6.5511,0.1191
guarante,2,2,6.5511,0.0496
mthree,2,2,6.5511,0.2184
precaut,2,2,6.5511,0.0762
remot,2,2,6.5511,0.0471
illingworth,2,1,7.2442,0.1811
3ft,2,2,6.5511,0.1771
essenc,2,2,6.5511,0.059
arisen,2,2,6.5511,0.2259
neumann,2,1,7.2442,0.102
concis,2,2,6.5511,0.1008
dispers,2,2,6.5511,0.1724
mzero,2,2,6.5511,0.0923
wash,2,2,6.5511,0.0458
lock,2,2,6.5511,0.1008
sedov,2,1,7.2442,0.1725
eucken,2,1,7.2442,0.1006
anisotrop,2,2,6.5511,0.0936
violet,2,1,7.2442,0.0873
stagnant,2,2,6.5511,0.1213
submit,2,2,6.5511,0.113
afterflow,2,1,7.2442,0.1081
tensor,2,2,6.5511,0.0936
naval,2,2,6.5511,0.0762
schoenherr,2,1,7.2442,0.0582
manufactur,2,2,6.5511,0.058
ame,2,2,6.5511,0.0819
crest,2,1,7.2442,0.1159
heretofor,2,2,6.5511,0.0753
burger,2,1,7.2442,0.439
glassi,2,1,7.2442,0.1478
broaden,2,2,6.5511,0.117
target,2,2,6.5511,0.1024
cant,2,1,7.2442,0.2041
zoom,2,1,7.2442,0.2264
caret,2,1,7.2442,0.207
eas,2,2,6.5511,0.0461
icbm,2,2,6.5511,0.0675
jupit,2,2,6.5511,0.036
venus,2,2,6.5511,0.036
corrobor,2,2,6.5511,0.0551
undersurfac,2,1,7.2442,0.207
winglik,2,2,6.5511,0.0596
german,2,2,6.5511,0.0649
enhanc,2,2,6.5511,0.0524
stroboscop,2,2,6.5511,0.0712
mat,2,2,6.5511,0.252
categori,2,2,6.5511,0.0704
anti,2,1,7.2442,0.1393
gies,2,1,7.2442,0.1509
bertram,2,1,7.2442,0.1509
enlarg,2,2,6.5511,0.1337
endplat,2,1,7.2442,0.2634
bridg,2,2,6.5511,0.0618
thicker,2,2,6.5511,0.0541
emmon,2,2,6.5511,0.1985
detriment,2,2,6.5511,0.0508
nonzero,2,2,6.5511,0.0541
microinch,2,2,6.5511,0.0601
leess,2,1,7.2442,0.1342
flex,2,1,7.2442,0.051
syng,2,1,7.2442,0.051
soon,2,2,6.5511,0.0753
supplementari,2,2,6.5511,0.0936
arm,2,2,6.5511,0.078
airload,2,1,7.2442,0.0823
prone,2,2,6.5511,0.0455
scarc,2,2,6.5511,0.0618
inquir,2,2,6.5511,0.078
octob,2,2,6.5511,0.059
unconserv,2,2,6.5511,0.0963
thesolar,2,1,7.2442,0.0873
shadow,2,2,6.5511,0.0504
mid,2,2,6.5511,0.0851
bergdolt,2,1,7.2442,0.1509
circulatori,2,2,6.5511,0.0461
violent,2,2,6.5511,0.0443
wheel,2,1,7.2442,0.2264
buoyant,2,2,6.5511,0.0862
sake,2,2,6.5511,0.069
multilay,2,2,6.5511,0.2113
barrier,2,2,6.5511,0.1092
build,2,2,6.5511,0.1394
hit,2,2,6.5511,0.0728
outstand,2,2,6.5511,0.0655
minus,2,2,6.5511,0.0465
fell,2,2,6.5511,0.0331
utilis,2,2,6.5511,0.0923
defenc,2,2,6.5511,0.0489
born,2,2,6.5511,0.104
nagamatsu,2,2,6.5511,0.0682
controversi,2,2,6.5511,0.182
decis,2,2,6.5511,0.0809
exposit,2,2,6.5511,0.1057
bandwidth,2,2,6.5511,0.0809
transpar,2,2,6.5511,0.0799
onsag,2,2,6.5511,0.168
sole,2,2,6.5511,0.126
hundredforti,2,1,7.2442,0.1558
antisymmetr,2,2,6.5511,0.1598
american,2,2,6.5511,0.0489
radic,2,2,6.5511,0.1191
thermocoupl,2,2,6.5511,0.0662
unfold,2,1,7.2442,0.1592
spark,2,2,6.5511,0.0712
mound,2,1,7.2442,0.0999
feel,2,2,6.5511,0.1424
shapiro,2,2,6.5511,0.084
artific,2,2,6.5511,0.0736
franc,2,1,7.2442,0.1834
determinant,2,1,7.2442,0.0878
rpm,2,1,7.2442,0.0674
constitu,2,2,6.5511,0.0512
anomali,2,2,6.5511,0.084
40degre,2,1,7.2442,0.0674
thermomet,2,2,6.5511,0.1024
triangl,2,2,6.5511,0.117
fictiti,2,2,6.5511,0.0475
nine5degre,2,1,7.2442,0.1342
90degre,2,2,6.5511,0.072
xzero,2,2,6.5511,0.182
rep,2,2,6.5511,0.059
heisenberg,2,2,6.5511,0.0446
magnetoacoust,2,1,7.2442,0.1705
possio,2,2,6.5511,0.126
buzz,2,1,7.2442,0.21
unidirect,2,1,7.2442,0.1073
peng,2,1,7.2442,0.345
aob,2,1,7.2442,0.1725
histor,2,2,6.5511,0.0771
home,2,2,6.5511,0.0862
trial,2,2,6.5511,0.0771
wkb,2,2,6.5511,0.0949
gupta,2,2,6.5511,0.0978
beta,2,1,7.2442,0.1073
sixth,2,2,6.5511,0.05
fpre,2,1,7.2442,0.0647
titan,2,1,7.2442,0.0604
recours,2,2,6.5511,0.0452
pindroh,2,1,7.2442,0.345
n1,2,1,7.2442,0.1081
bimolecular,2,1,7.2442,0.0728
midspan,2,1,7.2442,0.1081
craft,2,1,7.2442,0.1081
immers,2,2,6.5511,0.0655
25degre,2,2,6.5511,0.131
roe,2,1,7.2442,0.1081
aero,2,2,6.5511,0.104
tap,2,2,6.5511,0.0762
someth,2,2,6.5511,0.0655
boltzmann,2,2,6.5511,0.0993
redistribut,2,2,6.5511,0.1285
powel,2,2,6.5511,0.069
abstract,2,2,6.5511,0.1092
truli,2,2,6.5511,0.1092
saunder,2,1,7.2442,0.1081
circumscrib,2,2,6.5511,0.0512
ship,2,2,6.5511,0.0636
cartesian,2,2,6.5511,0.0862
edgewis,2,2,6.5511,0.0512
lesser,2,2,6.5511,0.0636
somewher,2,2,6.5511,0.0446
suppress,2,2,6.5511,0.1057
crucial,2,2,6.5511,0.0458
elevenzero,2,1,7.2442,0.2734
jouguet,2,1,7.2442,0.1985
secur,2,2,6.5511,0.0318
ambigu,2,2,6.5511,0.0897
phenol,2,2,6.5511,0.1236
inorgan,2,2,6.5511,0.1236
nth,2,2,6.5511,0.1057
assign,2,2,6.5511,0.1008
undeform,2,2,6.5511,0.0862
cutoff,2,1,7.2442,0.0906
mth,2,1,7.2442,0.1906
conductor,2,1,7.2442,0.3369
languag,2,2,6.5511,0.0636
dens,2,2,6.5511,0.1524
cabin,2,1,7.2442,0.3018
crack,2,2,6.5511,0.0862
opaqu,2,1,7.2442,0.071
roughen,2,1,7.2442,0.0935
lucit,2,2,6.5511,0.1236
chlorid,2,2,6.5511,0.1236
telegraph,2,2,6.5511,0.1008
realli,2,2,6.5511,0.234
nearest,2,2,6.5511,0.1285
monocoqu,2,2,6.5511,0.1337
insect,2,1,7.2442,0.0935
redirect,2,1,7.2442,0.1478
regain,2,2,6.5511,0.1024
plain,2,2,6.5511,0.1489
kink,2,2,6.5511,0.056
contradict,2,1,7.2442,0.1013
mph,2,2,6.5511,0.0649
chemistri,2,2,6.5511,0.0682
ammonium,2,2,6.5511,0.1236
satisfact,2,2,6.5511,0.0478
momentari,2,1,7.2442,0.1123
polyaxi,2,1,7.2442,0.1013
salt,2,2,6.5511,0.1236
mercuri,2,2,6.5511,0.2047
unbound,2,2,6.5511,0.0736
argument,2,2,6.5511,0.0949
calcualt,2,2,6.5511,0.1524
scoop,2,2,6.5511,0.113
radiant,2,2,6.5511,0.0323
highspe,2,2,6.5511,0.072
blunter,2,2,6.5511,0.0993
nonvanish,2,2,6.5511,0.0771
respond,2,2,6.5511,0.113
errat,2,1,7.2442,0.0833
tuft,2,2,6.5511,0.0458
appl,2,2,6.5511,0.0949
opportun,2,2,6.5511,0.0516
restor,2,2,6.5511,0.0873
marguerr,2,2,6.5511,0.0949
5th,2,2,6.5511,0.104
moor,2,2,6.5511,0.059
mech,2,2,6.5511,0.312
resort,2,2,6.5511,0.0655
thrown,2,2,6.5511,0.0585
want,2,2,6.5511,0.234
nocturn,2,1,7.2442,0.0584
sidewal,2,2,6.5511,0.0624
liner,2,2,6.5511,0.2113
acquir,2,2,6.5511,0.078
gerard,2,1,7.2442,0.2498
floor,2,2,6.5511,0.0789
smith,2,2,6.5511,0.0624
capacit,2,2,6.5511,0.113
dryden,2,2,6.5511,0.0762
capillari,2,1,7.2442,0.3534
left,2,2,6.5511,0.1024
nautic,2,1,7.2442,0.3534
furnish,2,2,6.5511,0.113
meteor,2,2,6.5511,0.131
sharpli,2,2,6.5511,0.0296
engag,2,2,6.5511,0.131
prototyp,2,2,6.5511,0.035
sweptforward,2,2,6.5511,0.052
anomal,2,2,6.5511,0.131
insur,2,2,6.5511,0.1236
monoplan,2,2,6.5511,0.0388
curtain,2,1,7.2442,0.2229
congress,2,2,6.5511,0.0949
armenaka,2,2,6.5511,0.1724
avenu,2,2,6.5511,0.0897
quart,2,2,6.5511,0.063
interrel,2,2,6.5511,0.0897
depress,2,1,7.2442,0.0601
rewrit,2,2,6.5511,0.1489
ser,2,2,6.5511,0.1394
circumfer,2,2,6.5511,0.0963
tion,2,2,6.5511,0.1724
danger,2,2,6.5511,0.0668
bifurc,2,2,6.5511,0.1149
identif,2,2,6.5511,0.0356
outcom,2,2,6.5511,0.0819
broken,2,2,6.5511,0.0331
zakkay,2,2,6.5511,0.1008
nonspher,2,2,6.5511,0.0455
gravit,2,2,6.5511,0.252
rectangl,2,1,7.2442,0.0966
hammerhead,2,1,7.2442,0.0647
tamada,2,2,6.5511,0.1213
reject,2,2,6.5511,0.0636
30degre,2,2,6.5511,0.0712
nonreact,2,2,6.5511,0.111
chiefli,2,2,6.5511,0.2259
gorcum,2,1,7.2442,0.322
arithmet,2,2,6.5511,0.2259
stratiform,2,2,6.5511,0.2113
mesh,2,1,7.2442,0.3293
passiv,2,2,6.5511,0.1456
jetlik,2,1,7.2442,0.1159
request,2,1,7.2442,0.1123
wakelik,2,1,7.2442,0.1159
prohibit,2,2,6.5511,0.091
inaccur,2,2,6.5511,0.0528
unperturb,2,1,7.2442,0.1592
superimpos,2,2,6.5511,0.0762
unexpect,2,2,6.5511,0.0809
tungsten,2,2,6.5511,0.072
preclud,2,1,7.2442,0.1434
heterogen,2,2,6.5511,0.0675
append,2,2,6.5511,0.1524
rod,2,1,7.2442,0.1478
omiss,2,2,6.5511,0.0819
corpor,2,2,6.5511,0.0993
viewpoint,2,2,6.5511,0.069
withstand,2,2,6.5511,0.0799
inconsist,2,2,6.5511,0.273
pressuris,2,2,6.5511,0.156
aec,2,2,6.5511,0.091
unfavor,2,2,6.5511,0.1024
crush,2,1,7.2442,0.1932
snap,2,2,6.5511,0.1149
scientist,2,2,6.5511,0.0978
union,2,2,6.5511,0.0978
august,2,2,6.5511,0.0978
concur,2,2,6.5511,0.1024
geophys,2,1,7.2442,0.0755
symposium,2,1,7.2442,0.2162
punctur,2,2,6.5511,0.0873
evidenc,2,2,6.5511,0.0978
pibal,2,2,6.5511,0.0851
intent,2,2,6.5511,0.0923
disclos,2,2,6.5511,0.1074
fractur,2,2,6.5511,0.0873
trapezoid,2,2,6.5511,0.0704
acrodynam,2,1,7.2442,0.1393
thereaft,2,2,6.5511,0.1394
book,2,2,6.5511,0.1285
bean,2,2,6.5511,0.1008
nimon,2,1,7.2442,0.1811
n2,2,2,6.5511,0.1724
isoenerget,2,2,6.5511,0.1213
8n,2,1,7.2442,0.0852
driest,2,1,7.2442,0.1958
quadrat,2,2,6.5511,0.0704
hydraul,2,2,6.5511,0.0508
h2,2,1,7.2442,0.0852
breadth,2,2,6.5511,0.0618
vice,2,2,6.5511,0.0712
versa,2,2,6.5511,0.0712
unstress,2,2,6.5511,0.057
azimuth,2,2,6.5511,0.1771
erod,2,2,6.5511,0.056
discern,2,2,6.5511,0.117
proc,2,2,6.5511,0.1394
conceptu,2,2,6.5511,0.1236
regardless,2,2,6.5511,0.0356
poisson,2,2,6.5511,0.1149
vibrate,2,2,6.5511,0.0993
nash,2,2,6.5511,0.1285
levi,2,2,6.5511,0.104
toricon,2,1,7.2442,0.115
prolat,2,1,7.2442,0.1028
residu,2,2,6.5511,0.0873
expens,2,2,6.5511,0.0496
autocorrel,2,2,6.5511,0.1008
unpow,2,1,7.2442,0.0714
ago,2,2,6.5511,0.1638
potter,2,1,7.2442,0.207
claim,2,2,6.5511,0.1057
oneon,2,2,6.5511,0.0612
succeed,2,2,6.5511,0.1074
pimpl,2,1,7.2442,0.1434
drew,2,2,6.5511,0.0728
shuffl,2,1,7.2442,0.1159
precess,2,1,7.2442,0.1218
lobe,2,2,6.5511,0.113
asymmetri,2,2,6.5511,0.0873
geodes,2,2,6.5511,0.0471
ftsection,2,2,6.5511,0.1598
phenomenolog,2,2,6.5511,0.1024
burgerss,2,1,7.2442,0.0828
exploit,2,2,6.5511,0.0524
truth,2,2,6.5511,0.059
zurich,2,2,6.5511,0.0443
butler,2,1,7.2442,0.207
extinct,2,1,7.2442,0.207
dodecagon,2,1,7.2442,0.345
valueless,2,2,6.5511,0.1024
geoffrey,2,1,7.2442,0.0828
unequ,2,2,6.5511,0.084
enforc,2,2,6.5511,0.168
nondissip,2,2,6.5511,0.0496
adam,2,2,6.5511,0.1638
cole,2,2,6.5511,0.0374
coverag,2,2,6.5511,0.1365
unsatisfactori,2,2,6.5511,0.1489
tietjen,2,2,6.5511,0.0417
sir,2,1,7.2442,0.0828
inconveni,2,2,6.5511,0.1489
feedback,2,2,6.5511,0.0897
remaind,2,2,6.5511,0.0374
safeti,2,2,6.5511,0.234
kendrick,2,1,7.2442,0.2498
hexagon,2,2,6.5511,0.117
streamtub,2,2,6.5511,0.069
magnifi,2,2,6.5511,0.058
subtract,2,2,6.5511,0.0829
bourn,2,2,6.5511,0.1236
secant,2,1,7.2442,0.2841
suck,2,1,7.2442,0.0783
decim,2,2,6.5511,0.182
throttl,2,1,7.2442,0.0783
risk,2,2,6.5511,0.0465
unfir,2,2,6.5511,0.052
deficit,2,2,6.5511,0.111
oscillograph,2,1,7.2442,0.1123
inhibit,2,2,6.5511,0.1236
mutual,2,2,6.5511,0.0446
william,2,2,6.5511,0.0829
hous,2,1,7.2442,0.1073
cellular,2,2,6.5511,0.0485
solubl,2,2,6.5511,0.1489
womersley,2,2,6.5511,0.111
injector,2,1,7.2442,0.1449
magnetoaerodynam,2,2,6.5511,0.0771
safe,2,2,6.5511,0.0428
unload,2,2,6.5511,0.0485
elaps,2,2,6.5511,0.1985
exercis,2,2,6.5511,0.0655
admiss,2,2,6.5511,0.0829
bump,2,1,7.2442,0.1811
halv,2,2,6.5511,0.0649
resolut,2,2,6.5511,0.0508
disagre,2,2,6.5511,0.0704
usabl,2,2,6.5511,0.1191
insuffici,2,2,6.5511,0.0728
davi,2,2,6.5511,0.1236
oversw,1,1,7.2442,0.0584
chemisorpt,1,1,7.2442,0.1098
unhappi,1,1,7.2442,0.0929
easiest,1,1,7.2442,0.0429
volterra,1,1,7.2442,0.1098
munk,1,1,7.2442,0.0683
ia,1,1,7.2442,0.0755
fage,1,1,7.2442,0.045
urgent,1,1,7.2442,0.057
tang,1,1,7.2442,0.0779
woodgat,1,1,7.2442,0.1132
mnine,1,1,7.2442,0.0589
picard,1,1,7.2442,0.0496
anhedr,1,1,7.2442,0.069
prewhirl,1,1,7.2442,0.1317
preheat,1,1,7.2442,0.0589
scruton,1,1,7.2442,0.1132
jan,1,1,7.2442,0.0755
adsorpt,1,1,7.2442,0.1098
stefan,1,1,7.2442,0.1098
annual,1,1,7.2442,0.0755
desk,1,1,7.2442,0.057
recognis,1,1,7.2442,0.0429
barrel,1,1,7.2442,0.0584
brown,1,1,7.2442,0.0557
microwav,1,1,7.2442,0.0584
katzen,1,1,7.2442,0.0779
organ,1,1,7.2442,0.057
nielsen,1,1,7.2442,0.0779
ber,1,1,7.2442,0.0929
rememb,1,1,7.2442,0.1207
typographi,1,1,7.2442,0.0929
friedman,1,1,7.2442,0.045
michael,1,1,7.2442,0.0557
typograph,1,1,7.2442,0.0929
eq,1,1,7.2442,0.0929
announc,1,1,7.2442,0.0755
impart,1,1,7.2442,0.0619
subroutin,1,1,7.2442,0.057
norman,1,1,7.2442,0.0557
instig,1,1,7.2442,0.0517
sensibl,1,1,7.2442,0.1168
heav,1,1,7.2442,0.0429
30th,1,1,7.2442,0.0755
broke,1,1,7.2442,0.0429
ban,1,1,7.2442,0.0717
belt,1,1,7.2442,0.0929
equatori,1,1,7.2442,0.0929
profilethat,1,1,7.2442,0.1228
heightto,1,1,7.2442,0.1228
bare,1,1,7.2442,0.0732
isit,1,1,7.2442,0.1228
kilometr,1,1,7.2442,0.0779
zero15x106,1,1,7.2442,0.0537
stonecyph,1,1,7.2442,0.0805
premis,1,1,7.2442,0.0717
look,1,1,7.2442,0.0521
beg,1,1,7.2442,0.0717
backward,1,1,7.2442,0.1006
gardless,1,1,7.2442,0.0385
incom,1,1,7.2442,0.1006
threeh,1,1,7.2442,0.0779
caravell,1,1,7.2442,0.115
facet,1,1,7.2442,0.0521
bracket,1,1,7.2442,0.0779
effectmay,1,1,7.2442,0.0436
kallmann,1,1,7.2442,0.0436
effectorigin,1,1,7.2442,0.0436
reliev,1,1,7.2442,0.1188
retrocket,1,1,7.2442,0.0671
180degre,1,1,7.2442,0.0537
consolid,1,1,7.2442,0.0436
physcal,1,1,7.2442,0.0436
variationsh180,1,1,7.2442,0.0436
confid,1,1,7.2442,0.2012
spectacular,1,1,7.2442,0.0703
satellitessputnik,1,1,7.2442,0.0436
vanguard,1,1,7.2442,0.0436
viscid,1,1,7.2442,0.0407
dramat,1,1,7.2442,0.0703
stochast,1,1,7.2442,0.0703
firm,1,1,7.2442,0.0703
sixfivezero,1,1,7.2442,0.0779
gramsc,1,1,7.2442,0.0779
realis,1,1,7.2442,0.0589
england,1,1,7.2442,0.045
centrelin,1,1,7.2442,0.0906
etal,1,1,7.2442,0.0755
handicap,1,1,7.2442,0.142
tri,1,1,7.2442,0.045
hog,1,1,7.2442,0.0589
conidt,1,1,7.2442,0.1393
townend,1,1,7.2442,0.045
simmon,1,1,7.2442,0.045
silica,1,1,7.2442,0.0906
centigrad,1,1,7.2442,0.0589
hotter,1,1,7.2442,0.0589
cure,1,1,7.2442,0.0589
fibrous,1,1,7.2442,0.0589
meight,1,1,7.2442,0.0589
msvo,1,1,7.2442,0.0755
pin,1,1,7.2442,0.1393
mseven,1,1,7.2442,0.0906
fuse,1,1,7.2442,0.0906
timeand,1,1,7.2442,0.1271
tractabl,1,1,7.2442,0.0717
itechn,1,1,7.2442,0.0599
defi,1,1,7.2442,0.0717
numbergwf,1,1,7.2442,0.0599
threeon,1,1,7.2442,0.0599
theirworstvalu,1,1,7.2442,0.0599
showonehow,1,1,7.2442,0.102
andtwohow,1,1,7.2442,0.102
windstream,1,1,7.2442,0.045
kopalfor,1,1,7.2442,0.0747
typeonear,1,1,7.2442,0.102
late,1,1,7.2442,0.045
forcibl,1,1,7.2442,0.1393
braunschweig,1,1,7.2442,0.0852
dashth,1,1,7.2442,0.0906
shercliff,1,1,7.2442,0.2786
rose,1,1,7.2442,0.0747
turbo,1,1,7.2442,0.0493
ktwo,1,1,7.2442,0.0659
a50f06,1,1,7.2442,0.0779
conpress,1,1,7.2442,0.0732
coefstant,1,1,7.2442,0.0381
torda,1,1,7.2442,0.1207
rabotnov,1,1,7.2442,0.1249
eightyzero,1,1,7.2442,0.0283
shesterikov,1,1,7.2442,0.1249
herrmann,1,1,7.2442,0.1906
mismatch,1,1,7.2442,0.1509
closur,1,1,7.2442,0.1509
requenc,1,1,7.2442,0.0283
constanc,1,1,7.2442,0.0381
potentiomet,1,1,7.2442,0.0383
micromanomet,1,1,7.2442,0.0383
swallow,1,1,7.2442,0.0283
nonconcurr,1,1,7.2442,0.1509
wich,1,1,7.2442,0.0966
bellevill,1,1,7.2442,0.1271
planck,1,1,7.2442,0.0677
distant,1,1,7.2442,0.0992
hyper,1,1,7.2442,0.0906
reimping,1,1,7.2442,0.0992
coalesc,1,1,7.2442,0.0283
asid,1,1,7.2442,0.1228
enc,1,1,7.2442,0.0461
malfunct,1,1,7.2442,0.0703
temp,1,1,7.2442,0.1228
compet,1,1,7.2442,0.0381
zeroth,1,1,7.2442,0.0292
spoken,1,1,7.2442,0.0381
nice,1,1,7.2442,0.0381
ussr,1,1,7.2442,0.2415
laguerr,1,1,7.2442,0.0381
kirk,1,1,7.2442,0.1317
nonun,1,1,7.2442,0.1575
decompos,1,1,7.2442,0.0929
transduc,1,1,7.2442,0.0929
two25x10,1,1,7.2442,0.0355
uhf,1,1,7.2442,0.0283
berthelot,1,1,7.2442,0.0677
manomet,1,1,7.2442,0.0383
elliott,1,1,7.2442,0.0929
tional,1,1,7.2442,0.0842
platinum,1,1,7.2442,0.0653
graze,1,1,7.2442,0.1857
mitig,1,1,7.2442,0.0318
apoge,1,1,7.2442,0.1857
geiger,1,1,7.2442,0.2195
magnetofluidmechan,1,1,7.2442,0.0906
magnetogasdynam,1,1,7.2442,0.0906
untest,1,1,7.2442,0.0842
kernal,1,1,7.2442,0.0747
chernyi,1,1,7.2442,0.0979
hise,1,1,7.2442,0.0979
quest,1,1,7.2442,0.1081
redefinit,1,1,7.2442,0.0599
solidif,1,1,7.2442,0.0318
stoni,1,1,7.2442,0.0318
venturi,1,1,7.2442,0.0842
meteorit,1,1,7.2442,0.0318
serbin,1,1,7.2442,0.2195
communic,1,1,7.2442,0.0381
sail,1,1,7.2442,0.0703
arrow,1,1,7.2442,0.0755
liabl,1,1,7.2442,0.102
closest,1,1,7.2442,0.102
bonus,1,1,7.2442,0.1317
gordon,1,1,7.2442,0.2195
rogh,1,1,7.2442,0.0521
hansen,1,1,7.2442,0.1725
frontal,1,1,7.2442,0.0862
bornel,1,1,7.2442,0.0747
gravalo,1,1,7.2442,0.2195
reanalysi,1,1,7.2442,0.0521
reanalyz,1,1,7.2442,0.0521
blend,1,1,7.2442,0.0323
hosokawa,1,1,7.2442,0.0906
edelfelt,1,1,7.2442,0.2195
spreiter,1,1,7.2442,0.0906
dorod,1,1,7.2442,0.0732
tan,1,1,7.2442,0.1228
castigliano,1,1,7.2442,0.0833
nitzyn,1,1,7.2442,0.0732
aeroballist,1,1,7.2442,0.1294
ft1eight,1,1,7.2442,0.1393
cylinder,1,1,7.2442,0.0906
deffer,1,1,7.2442,0.1393
kzero,1,1,7.2442,0.0659
copper,1,1,7.2442,0.0796
grimming,1,1,7.2442,0.0717
dropoff,1,1,7.2442,0.0653
proposel,1,1,7.2442,0.0308
1x10,1,1,7.2442,0.0447
duralumin,1,1,7.2442,0.0308
mild,1,1,7.2442,0.0308
4x10,1,1,7.2442,0.0447
firmer,1,1,7.2442,0.1114
unsymmetr,1,1,7.2442,0.0814
cope,1,1,7.2442,0.0614
radon,1,1,7.2442,0.0589
noninsul,1,1,7.2442,0.0456
a52b06,1,1,7.2442,0.0575
dashin,1,1,7.2442,0.0287
notion,1,1,7.2442,0.1478
tenth,1,1,7.2442,0.0653
entitl,1,1,7.2442,0.0321
dirac,1,1,7.2442,0.0683
e56b03b,1,1,7.2442,0.1367
xiii,1,1,7.2442,0.1367
passeng,1,1,7.2442,0.0549
inst,1,1,7.2442,0.1478
turbomachin,1,1,7.2442,0.0493
four000degreek,1,1,7.2442,0.0287
benser,1,1,7.2442,0.027
unbank,1,1,7.2442,0.0575
a51j04,1,1,7.2442,0.0575
two000degreek,1,1,7.2442,0.0287
inappropri,1,1,7.2442,0.0321
veiociti,1,1,7.2442,0.0321
redesign,1,1,7.2442,0.0331
eighton,1,1,7.2442,0.1646
meh,1,1,7.2442,0.1646
prikl,1,1,7.2442,0.1646
gothic,1,1,7.2442,0.1249
puzzl,1,1,7.2442,0.0381
mainten,1,1,7.2442,0.0467
housefli,1,1,7.2442,0.0467
kay,1,1,7.2442,0.1065
electroform,1,1,7.2442,0.0833
diversifi,1,1,7.2442,0.0609
ordnanc,1,1,7.2442,0.0842
inafinit,1,1,7.2442,0.1725
con,1,1,7.2442,0.0381
mistak,1,1,7.2442,0.0599
afresh,1,1,7.2442,0.0381
ficient,1,1,7.2442,0.0381
synthesi,1,1,7.2442,0.1065
infit,1,1,7.2442,0.1685
spite,1,1,7.2442,0.0283
magnetoga,1,1,7.2442,0.1228
rivet,1,1,7.2442,0.0467
yeh,1,1,7.2442,0.1065
vlasov,1,1,7.2442,0.1646
repli,1,1,7.2442,0.0739
placement,1,1,7.2442,0.1646
slug,1,1,7.2442,0.0439
ar,1,1,7.2442,0.0883
feldman,1,1,7.2442,0.0883
lap,1,1,7.2442,0.0467
johnson,1,1,7.2442,0.0439
hidalgo,1,1,7.2442,0.0739
detra,1,1,7.2442,0.0739
plast,1,1,7.2442,0.0779
drosophila,1,1,7.2442,0.0467
today,1,1,7.2442,0.0747
molybdenum,1,1,7.2442,0.0796
equilibr,1,1,7.2442,0.0584
minnesota,1,1,7.2442,0.1725
pursu,1,1,7.2442,0.1725
extra,1,1,7.2442,0.0442
semicircl,1,1,7.2442,0.069
combut,1,1,7.2442,0.0619
f2,1,1,7.2442,0.0436
